cddaId,cddaCountryCode,cddaRegionCode,siteName,legalFoundationDate,FDsource
555640464,FR,FR,Reseau De Tourbieres Du Plateau De Montselgues,1997,.http://www.pole-gestion.fr/d/reseau-de-tourbieres-du-plateau-de-montselgues/ .. or 2008? https://www.cen-rhonealpes.fr/wp-content/uploads/2013/12/Plan-Gestion-Simplifie%CC%81-Tourbie%CC%80res-Montselgues-2018.pdf
555640476,FR,FR,Ens Marais De La Haute-Versoix Et De Brou,2001,2001 from https://eunis.eea.europa.eu/sites/FR8201644 .. better source?: https://www.cen-rhonealpes.fr/wp-content/uploads/2013/12/PDGS-Marais-Versoix.pdf
555547082,FR,FR,Coteaux De La Vallee De La Bienne,1998,another example of protection due to falling agricultural output http://cen-franchecomte.org/fich_59521/fiche-site-coteaux-villard-sur-bienne.pdf
555546607,FR,FR,Coteau Des Champs Genets,,Coteau Des Champs Genets
555546852,FR,FR,Zones Humides Du Val-De-Gueblange,,earliest management date appears to be 1998: https://rhin-meuse.eaufrance.fr/resultats-ZHUM?perimetre[57_AQUA_0085]
555640367,FR,FR,Bocage Et Boisements De Plibou,2020,Finding a better source would be nice https://reseau-cen.org/fr/actualites-agenda/conservatoire-d-espaces-naturels-de-nouvelle-aquitaine-acquisition-et-location-de-60-ha-dans-les
555640515,FR,FR,Marais De Brognin,,good example of land becoming unproductive then (increase forest) then gets park designation https://www.cen-rhonealpes.fr/wp-content/uploads/2013/12/pdgs_Brognin.pdf
555546684,FR,FR,"Val D'Allier - Les Noix, Les Graves, Les Muriers",2012,http://cen-allier.org/?map-location=les-noix-les-graves-les-muriers-chatel-de-neuvre&cm-ajax=1
555640093,FR,FR,Le Thuit - La Roquette,,http://cen-normandie.fr/sites-et-milieux-naturels/le-thuit-la-roquette
555547124,FR,FR,Prairies De La Rastiere,,http://cen-normandie.fr/sites-et-milieux-naturels/prairies-de-la-rastiere ... maybe 2014? seems more like one mangement event rather than acquisition date
555640026,FR,FR,Zones Humides De La Plaine D'Ogeu,1995,http://docplayer.fr/77092612-Zones-humides-de-la-plaine-d-ogeu.html
555640233,FR,FR,"Coteaux De Dannes-Camiers, Coteau Des Anglettes Et Coteau Du Fond Des Barges",,http://docplayer.fr/81331553-Gestion-ecologique-des-coteaux-de-dannes-camiers.html
555546986,FR,FR,Ruisseau De Macre,2002,http://etude.biodiversite-poitou-charentes.org/Le-ruisseau-de-Macre-Document-d.html
555640037,FR,FR,Gergovie/Puy-De-Mardoux,,http://geolfrance.brgm.fr/sites/default/files/upload/documents/gf1-1-2020.pdf
555546965,FR,FR,Marais De Clussais-La Pommeraie,,"http://macommune.biodiversite-nouvelle-aquitaine.fr/commune/Clussais-la-Pommeraie-79190 <--- maybe 1999? seems like general law, maybe not site specific http://www.cren-poitou-charentes.org/sites-conservatoire/fiches-sites/marais-de-clussais-la-pommeraie"
555546977,FR,FR,Prairies De Lezay,1999,http://macommune.biodiversite-nouvelle-aquitaine.fr/commune/Lezay-79120
555640379,FR,FR,Landes Et Pelouses De Lussac-Sillars,2004,http://montmorillonnais.n2000.fr/sites/montmorillonnais.n2000.fr/files/documents/page/Lettre20info20Lussac20nC2B0420-202010.pdf
555640215,FR,FR,Vallee De La Meuse,,http://vallee-meuse.n2000.fr/je-souhaite/proteger-le-site/natura-2000
555640359,FR,FR,Marais De Bessines A L'Ouchette,2003,http://webissimo.developpement-durable.gouv.fr/IMG/pdf/Atlas_Deux_Sevres_Cahier_1_2_classes_cle111477.pdf
555546982,FR,FR,Marais De Saint-Hilaire-La-Palud - Arcais,2003,http://webissimo.developpement-durable.gouv.fr/IMG/pdf/Atlas_Deux_Sevres_Cahier_1_2_classes_cle111477.pdf
555640360,FR,FR,Marais De Saint-Georges-De-Rex - Amure,2003,http://webissimo.developpement-durable.gouv.fr/IMG/pdf/Atlas_Deux_Sevres_Cahier_1_2_classes_cle111477.pdf
555640329,FR,FR,Iles De Brehemont (Les),1996,"http://webissimo.developpement-durable.gouv.fr/IMG/pdf/cen0056_les_iles_de_la_loire_a_brehemont_cle73b1c3.pdf page 5 lists several protection dates, earliest in 1996 and latest in 2014. I chose 1996 becuase it became a regional park"
555640101,FR,FR,"Marais De Giez, Doussard Et Faverges",1990,http://www.auvergne-rhone-alpes.developpement-durable.gouv.fr/IMG/pdf/4D3D1d01_cle557823.pdf
555546970,FR,FR,Tourbieres De Prin-Deyrancon,,http://www.biodiversite-poitou-charentes.org/Travaux-de-gestion-sur-le-site-des-tourbieres-de-Prin.html .... maybe 1999? http://macommune.biodiversite-nouvelle-aquitaine.fr/commune/Prin-Deyran%C3%A7on-79210
555546601,FR,FR,Alpage De La Cha,1996,http://www.cen-haute-savoie.org/alpage-cha
555640562,FR,FR,Marais De Pagny-Foug-Lay St Remy,1992,http://www.cen-lorraine.fr/medias/fichiers/cg54_infosite_lay_st_remy_no1_3_1.pdf
555640231,FR,FR,Etang De La Galoperie,2013,http://www.citoyen-de-la-nature.fr/letang-de-la-galoperie-anor-nord
555640137,FR,FR,Basse Plaine De L'Aude Et Collines D'Enserune,1986,http://www.conservatoire-du-littoral.fr/siteLittoral/171/28-basse-plaine-de-l-aude-34_herault.htm
555640530,FR,FR,Marais De Chautagne,1999,http://www.conservatoire-du-littoral.fr/siteLittoral/345/28-marais-de-chautagne-73_savoie.htm
555640144,FR,FR,Lande Humide Des Chaux,2010,http://www.conservatoirelimousin.com/actualites-detail/items/landes-humides-les-chaux.html
555559656,FR,FR,Tourbiere Du Ruisseau De La Grande Ribiere,2012,http://www.conservatoirelimousin.com/actualites-detail/items/travaux-de-restauration-tourbiere-du-ruisseau-de-la-grande-ribiere.html
555640206,FR,FR,Tourbiere Du Chaumadour,2008,http://www.conservatoirelimousin.com/agenda-detail/events/sortie-nature-tourbiere-du-chaumadour.html
555640191,FR,FR,Landes Et Tourbiere De Giat - St Fourchat,1999,http://www.conservatoirelimousin.com/la-carte-des-sites/site/38-landes-et-tourbiere-de-giat-st-fourchat.html
555640169,FR,FR,Tourbiere De La Ferriere,1995,http://www.conservatoirelimousin.com/la-liste-des-sites/site/11-tourbiere-de-la-ferriere.html
555640185,FR,FR,Tourbiere Et Landes D'Ars Et Du Pont Tord,2001,http://www.conservatoirelimousin.com/la-liste-des-sites/site/24-tourbiere-et-landes-dars-et-du-pont-tord.html
555640181,FR,FR,Lande Et Tourbiere De Combe-Prunde,2006,http://www.conservatoirelimousin.com/la-liste-des-sites/site/25-lande-et-tourbiere-de-combe-prunde.html
555640164,FR,FR,Tourbiere Et Landes Du Pont De La Pierre,2000,http://www.conservatoirelimousin.com/la-liste-des-sites/site/37-tourbiere-et-landes-du-pont-la-pierre.html
