Country,1985,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019
Albania,40.34170532,40.44595718,37.87553406,37.69803238,35.14920044,39.49436569,38.68135834,39.84197617,43.05578232,39.35601044,43.29465485,38.35959625,46.8396492,44.40690231,49.07923889,48.29705811,48.06141281,49.945755
Austria,66.68845367,66.36079407,66.77627563,64.55754089,66.06512451,67.82611847,68.60693359,70.46489716,70.90862274,66.64363098,68.19957733,66.94351959,67.77378845,67.16142273,72.59900665,74.20030975,74.04510498,74.20700073
Belgium,69.42857361,70.77825165,67.01544952,63.31344223,68.77225494,70.99315643,70.21713257,75.89360046,76.64855957,70.96669769,72.44916534,71.22929382,72.92273712,69.40485382,79.78882599,78.79169464,75.26678467,77.11775208
Bosnia and Herzegovina,69.79294586,67.48550415,66.26208496,68.90830231,68.82929993,75.62425995,72.6750946,72.3852005,77.07669067,74.27674103,76.93405914,74.93904114,76.88036346,76.74995422,79.20433807,79.16688538,78.32165527,81.78149414
Bulgaria,55.27261353,55.17274475,52.61647034,57.78805161,54.19863892,57.890625,58.69178391,56.14157867,56.30086136,59.45293427,59.23310471,53.20200729,59.47373199,58.48021317,66.34192657,64.26438141,66.92266846,63.7102356
Croatia,74.93352509,76.7691803,77.19426727,74.71929169,75.75457764,79.19268799,78.8030777,80.77203369,80.30908203,74.00809479,76.11555481,76.72563171,78.2255249,78.1866684,81.31655884,83.24268341,81.9040451,83.1566391
Czechia,70.70347595,69.62472534,67.3441925,68.23338318,70.63616943,72.86849213,73.01622772,75.79106903,76.49195862,70.09664917,73.44664001,71.42047119,72.86759186,71.55871582,78.04236603,78.65538025,77.09633636,77.93697357
Denmark,55.99796295,59.02698898,55.24082565,50.91559601,55.34814835,52.87984848,56.20228195,60.60152054,60.55278778,56.50355148,58.00819016,55.37093735,57.0303421,49.12586975,59.75673676,63.07164383,58.79588699,63.35173035
Estonia,67.15789032,64.53404236,66.97129822,61.86360931,67.23427582,71.52268219,68.0194931,71.31370544,72.72267151,69.57263947,69.27600098,70.74784851,70.66061401,70.48279572,77.91242981,78.11195374,75.70178986,77.6881485
Finland,56.60648346,58.04635239,54.94717789,53.7519455,56.69220352,60.34179306,58.62919617,57.78803635,59.00638199,61.73241806,61.67224884,56.17673874,59.96763229,58.50068665,69.79563141,68.80787659,68.15712738,67.02217865
France,64.24928284,67.07522583,64.20423889,64.31302643,67.54710388,67.09709167,68.15748596,70.30590057,70.65649414,65.43286896,65.3564682,66.6269455,67.41503143,64.5815506,75.00844574,72.4655838,72.24637604,71.61697388
Germany,64.64321899,64.63652039,62.97647476,61.27859879,66.29101563,66.33011627,66.94848633,69.00805664,70.91535187,64.74570465,67.73108673,68.07205963,68.17806244,64.61172485,74.45844269,73.74411011,70.28549194,71.56929016
Greece,46.85029984,46.05122757,46.59950256,47.98126984,46.08303452,50.84135437,48.49779129,48.01725769,49.43610764,51.47387695,52.47425461,50.99708939,54.52962875,51.83149719,59.19894791,60.6413002,61.3996582,62.09502411
Hungary,67.63961029,67.30690002,67.01689911,68.50043488,67.13868713,70.6053009,73.6283493,71.97777557,74.42536926,68.87890625,73.64687347,70.35105133,73.06481934,72.95745087,78.0714798,77.32261658,76.50856781,79.11133575
Ireland,56.17156601,63.1506958,58.88291931,53.36049271,29.14520645,64.25630188,64.78587341,67.49990845,66.01544189,64.97279358,62.21182632,51.80119705,42.4655838,48.27400208,70.19979858,67.77594757,70.79537964,68.63075256
Italy,41.02039719,47.42924881,47.30320358,47.10796738,46.4685173,49.51752472,48.40319443,49.21711731,49.16553497,49.18135834,45.07539368,49.5075264,50.97618866,51.58179092,54.23171997,55.61307144,54.87306595,55.19254684
Latvia,67.04266357,66.18172455,66.674263,65.31964874,66.45391083,70.85621643,69.87043762,71.46012115,73.39842224,70.04296875,72.24617004,72.89107513,70.93753052,71.89842224,77.86159515,78.623909,77.24158478,77.58535767
Lithuania,70.92666626,71.14504242,70.31846619,67.26882935,69.06382751,72.39271545,71.76306152,74.46421051,74.79053497,73.42403412,73.33818817,73.12693024,72.74015045,73.44731903,80.0071106,80.15466309,79.29943085,78.25054932
Luxembourg,73.67474365,75.49674988,72.22254181,69.66452789,71.38624573,73.52232361,76.09310913,77.49344635,79.04805756,71.88495636,74.79429626,75.1284256,76.45298004,73.2684021,80.48625946,78.51578522,77.97011566,77.24636078
Malta,16.39762878,16.20627213,17.60576439,17.21207237,16.43833733,18.9842186,18.01522636,17.31070328,14.59794903,17.95977402,18.68940926,18.74450874,18.47343636,0,21.50535202,21.75494957,21.86364365,23.6944809
Netherlands,54.44028854,55.31103134,51.2040863,45.16586685,54.03879166,55.7405014,54.35894775,59.65346527,59.0232811,52.71472168,56.51486206,55.80323792,55.75955963,51.90069199,61.64431381,62.39138412,57.87085342,61.45096207
North Macedonia,50.04013824,43.33335876,44.15594482,47.210289,41.8554039,48.37202072,47.62919998,45.79707336,45.72531509,49.2923851,52.14467239,46.19330978,52.49635696,51.49358749,57.1789856,59.55361557,57.62749863,59.54468918
Norway,35.3873558,37.61445236,32.78274918,33.01335144,36.42097473,39.24264908,36.09485626,39.05073929,40.6825943,40.12678528,40.33220673,33.92817307,38.69164276,34.53936768,48.19946671,47.0256424,46.30826187,45.39461899
Poland,62.23814774,64.0381546,63.00566101,57.34157944,62.89935303,65.94870758,66.18450928,68.12443542,69.03808594,64.25865173,66.59765625,65.8635025,67.41857147,67.00872803,74.1568222,74.17228699,73.13118744,72.72141266
Romania,66.6315155,64.77627563,65.96676636,62.97277069,68.91242218,71.46025085,73.81178284,71.59069824,74.30174255,70.70896912,72.7903595,73.44174194,74.88867188,73.18534088,79.47412872,78.95072174,78.89903259,80.36837006
Serbia,70.05726624,68.99894714,69.61560822,70.1789093,70.45713806,75.88127899,73.17370605,71.95858002,77.99924469,70.46938324,78.8572464,74.72486115,77.33370209,76.40042114,79.55705261,80.64086151,80.79113007,83.14214325
Slovakia,65.45563507,75.21588898,73.3611908,71.29724121,74.22780609,77.18576813,76.8316803,79.86396027,80.13412476,74.84828949,78.19680023,75.08324432,77.26513672,77.29264832,82.9546814,83.45316315,81.87438202,83.1995697
Slovenia,74.55586243,76.38963318,77.085289,74.96102905,76.65133667,77.96840668,79.27615356,81.48155212,82.02759552,77.08715057,76.33816528,78.12873077,78.61978912,77.84507751,81.6205368,83.19345856,82.68746948,83.65991974
Spain,50.89965439,55.10137939,53.11706543,51.26891327,53.92536163,54.94007111,55.72669601,57.39383698,56.22924423,54.54393387,52.83319473,57.37506485,56.69150543,55.21522903,63.2817688,62.54592896,63.04039001,63.52371597
Sweden,61.61029053,62.23241806,60.47159958,56.21576309,60.64706421,63.6686058,64.06505585,66.28250122,65.24816895,61.73554993,64.934021,63.49876404,61.92121124,53.9776001,71.90216827,71.45957184,70.43750763,71.08547974
Switzerland,42.94062805,40.91783142,42.70050812,41.24538803,44.23677063,43.88002777,44.74048615,46.14904022,47.82758331,42.92696381,43.45215607,45.61064148,45.72455597,42.59898758,48.94841766,48.64396667,47.94305801,50.31538391
United Kingdom,44.50382233,50.16817856,63.53067398,50.59015274,64.36934662,65.57064056,62.07331848,70.1598587,62.74131012,43.66615677,56.21332932,55.02627182,61.18046951,53.39793396,73.81126404,70.98269653,71.6561203,72.60570526
