YEAR,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,North Macedonia,Poland,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom
1985,66.68845367,69.42857361,69.79294586,55.27261353,74.93352509,70.70347595,55.99796295,67.15789032,56.60648346,64.24928284,64.64321899,46.85029984,67.63961029,56.17156601,41.02039719,67.04266357,70.92666626,73.67474365,54.44028854,50.04013824,62.23814774,66.6315155,70.05726624,65.45563507,74.55586243,50.89965439,61.61029053,42.94062805,44.50382233
1987,66.36079407,70.77825165,67.48550415,55.17274475,76.7691803,69.62472534,59.02698898,64.53404236,58.04635239,67.07522583,64.63652039,46.05122757,67.30690002,63.1506958,47.42924881,66.18172455,71.14504242,75.49674988,55.31103134,43.33335876,64.0381546,64.77627563,68.99894714,75.21588898,76.38963318,55.10137939,62.23241806,40.91783142,50.16817856
1989,66.77627563,67.01544952,66.26208496,52.61647034,77.19426727,67.3441925,55.24082565,66.97129822,54.94717789,64.20423889,62.97647476,46.59950256,67.01689911,58.88291931,47.30320358,66.674263,70.31846619,72.22254181,51.2040863,44.15594482,63.00566101,65.96676636,69.61560822,73.3611908,77.085289,53.11706543,60.47159958,42.70050812,63.53067398
1991,64.55754089,63.31344223,68.90830231,57.78805161,74.71929169,68.23338318,50.91559601,61.86360931,53.7519455,64.31302643,61.27859879,47.98126984,68.50043488,53.36049271,47.10796738,65.31964874,67.26882935,69.66452789,45.16586685,47.210289,57.34157944,62.97277069,70.1789093,71.29724121,74.96102905,51.26891327,56.21576309,41.24538803,50.59015274
1993,66.06512451,68.77225494,68.82929993,54.19863892,75.75457764,70.63616943,55.34814835,67.23427582,56.69220352,67.54710388,66.29101563,46.08303452,67.13868713,29.14520645,46.4685173,66.45391083,69.06382751,71.38624573,54.03879166,41.8554039,62.89935303,68.91242218,70.45713806,74.22780609,76.65133667,53.92536163,60.64706421,44.23677063,64.36934662
1995,67.82611847,70.99315643,75.62425995,57.890625,79.19268799,72.86849213,52.87984848,71.52268219,60.34179306,67.09709167,66.33011627,50.84135437,70.6053009,64.25630188,49.51752472,70.85621643,72.39271545,73.52232361,55.7405014,48.37202072,65.94870758,71.46025085,75.88127899,77.18576813,77.96840668,54.94007111,63.6686058,43.88002777,65.57064056
1997,68.60693359,70.21713257,72.6750946,58.69178391,78.8030777,73.01622772,56.20228195,68.0194931,58.62919617,68.15748596,66.94848633,48.49779129,73.6283493,64.78587341,48.40319443,69.87043762,71.76306152,76.09310913,54.35894775,47.62919998,66.18450928,73.81178284,73.17370605,76.8316803,79.27615356,55.72669601,64.06505585,44.74048615,62.07331848
1999,70.46489716,75.89360046,72.3852005,56.14157867,80.77203369,75.79106903,60.60152054,71.31370544,57.78803635,70.30590057,69.00805664,48.01725769,71.97777557,67.49990845,49.21711731,71.46012115,74.46421051,77.49344635,59.65346527,45.79707336,68.12443542,71.59069824,71.95858002,79.86396027,81.48155212,57.39383698,66.28250122,46.14904022,70.1598587
2001,70.90862274,76.64855957,77.07669067,56.30086136,80.30908203,76.49195862,60.55278778,72.72267151,59.00638199,70.65649414,70.91535187,49.43610764,74.42536926,66.01544189,49.16553497,73.39842224,74.79053497,79.04805756,59.0232811,45.72531509,69.03808594,74.30174255,77.99924469,80.13412476,82.02759552,56.22924423,65.24816895,47.82758331,62.74131012
2003,66.64363098,70.96669769,74.27674103,59.45293427,74.00809479,70.09664917,56.50355148,69.57263947,61.73241806,65.43286896,64.74570465,51.47387695,68.87890625,64.97279358,49.18135834,70.04296875,73.42403412,71.88495636,52.71472168,49.2923851,64.25865173,70.70896912,70.46938324,74.84828949,77.08715057,54.54393387,61.73554993,42.92696381,43.66615677
